['2022-01-11 03:33:13', '126.4', '2.9', '58.4', 'S', '160.2', 'W', '40.8', '22.8']
['2022-01-01 20:23:04', '14.5', '0.42', '66.1', 'N', '152.6', 'W', '35.5', None]
['2021-12-29 03:15:35', '2.0', '0.073', '69.7', 'S', '115.0', 'E', '44', '22.0']
['2021-12-23 21:27:58', '2.1', '0.076', '4.9', 'S', '29.6', 'W', '37', None]
['2021-12-20 23:15:55', '3.2', '0.11', '62.7', 'N', '60.3', 'E', '56', '18.2']
['2021-12-10 01:19:06', '5.0', '0.16', '47.5', 'S', '172.6', 'E', '27.5', None]
['2021-11-28 18:06:50', '4.0', '0.13', '32.6', 'N', '113.5', 'E', '38.4', '19.7']
['2021-11-17 15:53:21', '2.4', '0.086', '6.8', 'S', '119.1', 'E', '35.0', '23.0']
['2021-11-08 05:28:28', '3.3', '0.11', '33.8', 'S', '7.7', 'W', '36', None]
['2021-10-28 09:10:30', '3.0', '0.1', '4.1', 'S', '138.7', 'W', '35.2', None]
['2021-10-21 10:32:02', '3.7', '0.13', '51.5', 'N', '51.4', 'E', '30', '15.9']
['2021-10-20 08:41:50', '6.0', '0.19', '13.8', 'N', '140.4', 'W', '28', None]
['2021-10-20 00:43:57', '2.0', '0.073', '59.0', 'N', '154.3', 'E', '31.4', '27.5']
['2021-09-29 10:50:59', '13.7', '0.4', '53.9', 'N', '148.0', 'W', '28.0', '21.2']
['2021-09-06 17:55:42', '3.1', '0.11', '2.1', 'S', '111.8', 'W', '26.0', '13.6']
['2021-07-30 08:06:34', '14.6', '0.42', '7.8', 'S', '90.1', 'E', '63.0', None]
['2021-07-29 13:19:57', '3.7', '0.13', '42.4', 'N', '98.4', 'E', '26.4', '14.7']
['2021-07-07 13:41:14', '3.3', '0.11', None, None, None, None, None, None]
['2021-07-05 03:46:24', '74', '1.8', '44.3', 'N', '164.2', 'W', '43.4', '15.7']
['2021-06-09 05:43:59', '2.3', '0.082', '17.9', 'S', '55.3', 'W', None, None]
